City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
516,Zemio,CF,69.06,light rain,5.0314,25.1361,OCHA Office
518,Jimenez,MX,84.94,clear sky,28.3333,-105.4,Hacienda Las Marias
519,Labuan,MY,80.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
521,Cravo Norte,CO,81.21,moderate rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
525,Ifo,NG,78.42,scattered clouds,6.8144,3.1958,Footed Hotel and Suites
529,Santa Fe,AR,70.99,clear sky,-31.6333,-60.7,Conquistador Hotel
532,Labuhan,ID,81.39,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
533,Maua,BR,60.6,moderate rain,-23.6678,-46.4614,Hotel Capriccio Mauá
538,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
540,Axim,GH,77.4,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
541,Matamoros,MX,89.71,clear sky,25.5333,-103.25,Quinta Belem
542,Guaratinga,BR,75.87,broken clouds,-16.5667,-39.5667,Hotel Caraíva
543,Praia Da Vitoria,PT,63.75,few clouds,38.7333,-27.0667,Hotel Branco I
544,Dubti,ET,83.32,clear sky,11.7361,41.0853,degu Shiferaw
546,Danville,US,68.38,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
547,Manono,CD,67.86,overcast clouds,-7.3,27.4167,Hotel hewa bora
549,Canon City,US,72.75,clear sky,38.441,-105.2424,Travel Inn Motel
554,Alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
556,Prainha,BR,80.82,broken clouds,-1.8,-53.48,Casa Rocha
557,Forbes,AU,60.98,clear sky,-33.3833,148.0167,Lake Forbes Motel
559,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
560,Manggar,ID,81.52,few clouds,-2.8833,108.2667,Guest Hotel
562,Kaeo,NZ,73.33,few clouds,-35.1,173.7833,Bushido Lodge
563,Manali,IN,78.89,overcast clouds,13.1667,80.2667,Sarathy Lodge
564,Savannah,US,75.94,clear sky,32.0835,-81.0998,Best Western Savannah Historic District
565,Hatillo,PR,82.02,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
566,Muli,MV,82.04,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
571,Poya,NC,79.39,clear sky,-21.35,165.15,
573,Winslow,US,71.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
575,Fare,PF,75.63,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
576,Gusau,NG,79.54,scattered clouds,12.1628,6.6614,GUEST INN
577,Hermiston,US,65.8,light rain,45.8404,-119.2895,Oxford Suites Hermiston
578,Agadez,NE,81.54,clear sky,19.75,10.25,
