City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
332,San Patricio,US,28.017,-97.5169,88.54,76,7,13.51,clear sky
333,Chokurdakh,RU,70.6333,147.9167,-5.26,98,100,2.33,overcast clouds
334,Nishihara,JP,26.1842,127.7558,76.28,74,40,10.36,scattered clouds
335,Vestmannaeyjar,IS,63.4427,-20.2734,44.17,89,100,3.53,overcast clouds
336,Puerto Padre,CU,21.195,-76.6028,83.41,87,80,6.85,broken clouds
337,Kavaratti,IN,10.5669,72.642,81.43,77,88,11.18,overcast clouds
338,Klyuchi,RU,52.2667,79.1667,42.28,62,74,10.69,broken clouds
339,Kobryn,BY,52.2138,24.3564,36.39,71,74,5.57,broken clouds
340,Bandar-E Lengeh,IR,26.5579,54.8807,81.09,57,0,2.89,clear sky
341,Pontes E Lacerda,BR,-15.2261,-59.3353,70.32,81,100,6.38,overcast clouds
342,Port Blair,IN,11.6667,92.75,79.84,81,80,4.88,broken clouds
343,Marana,US,32.4367,-111.2254,89.94,24,1,3.44,clear sky
344,Te Anau,NZ,-45.4167,167.7167,62.69,76,99,2.1,overcast clouds
345,La Ronge,CA,55.1001,-105.2842,41.25,70,20,10.36,few clouds
